model,Ames_TP1,Ames_TP2,Ames_TP3,Ames_TP4,Ames_TP5,Ames_TP6,Crawfordsville_TP1,Crawfordsville_TP2,Crawfordsville_TP3,Crawfordsville_TP4,Crawfordsville_TP5,Crawfordsville_TP6,Lincoln_TP1,Lincoln_TP2,Lincoln_TP3,Lincoln_TP4,Lincoln_TP5,Lincoln_TP6,Movalley_TP1,Movalley_TP2,Movalley_TP3,Movalley_TP4,Movalley_TP5,Movalley_TP6,Scottsbluff_TP1,Scottsbluff_TP2,Scottsbluff_TP3,Scottsbluff_TP4,Scottsbluff_TP5,Scottsbluff_TP6
Ames_TP1,0.29571,0.1815,0.31089,0.16269,0.03842,0.00098,0.0827,0.04521,0.07565,0.0061,0.01372,0.09496,0.1795,0.11608,0.1942,0.23413,0.07209,0.05963,0.03448,0.10207,0.0835,0.01438,0.0,0.03884,0.00133,0.00011,0.00103,0.00017,0.0024,0.01829
Ames_TP2,0.0483,0.34331,0.36333,0.23933,0.07259,0.03683,0.12028,0.10774,0.14129,0.00363,0.01083,0.0783,0.25573,0.19054,0.18204,0.22406,0.09673,0.08003,0.11723,0.21012,0.22403,0.11257,0.04132,0.00786,0.00862,0.00564,0.00407,0.01585,0.02542,0.04287
Ames_TP3,0.03654,0.17913,0.49037,0.28066,0.09781,0.04241,0.10854,0.10792,0.16053,0.01936,0.01697,0.07736,0.2701,0.26618,0.19745,0.29964,0.21701,0.18733,0.12313,0.21847,0.31131,0.15501,0.05612,0.05687,0.01171,0.00212,0.00481,0.0198,0.02668,0.03883
Ames_TP4,0.00942,0.11166,0.30153,0.45879,0.15119,0.0455,0.10227,0.12235,0.1691,0.07745,0.00171,0.03174,0.2388,0.29815,0.09983,0.18543,0.20531,0.20313,0.14286,0.20522,0.40561,0.21213,0.13746,0.00143,0.02176,0.00473,0.00888,0.01699,0.0241,0.03557
Ames_TP5,0.00277,0.05564,0.1766,0.31415,0.39173,0.10587,0.14195,0.09355,0.13624,0.11165,0.01101,0.00051,0.1653,0.20102,0.01179,0.06823,0.10067,0.10343,0.13513,0.19765,0.3293,0.18103,0.09249,0.01119,0.02555,0.012,0.01257,0.00978,0.023,0.0462
Ames_TP6,0.00175,0.0644,0.17953,0.22095,0.18662,0.38497,0.09629,0.07118,0.07169,0.09729,0.01526,0.04509,0.13409,0.09544,0.01228,0.02629,0.03895,0.02848,0.08101,0.17424,0.25192,0.14996,0.04433,0.00881,0.00825,0.01903,0.01822,0.0122,0.03113,0.03454
Crawfordsville_TP1,0.01944,0.13996,0.2587,0.23969,0.1396,0.03574,0.59133,0.15134,0.15739,0.01525,0.00511,0.05136,0.22309,0.17307,0.11267,0.23635,0.08687,0.05556,0.07928,0.23134,0.16054,0.05084,0.00585,0.00954,0.01755,0.00517,0.02684,0.03807,0.04321,0.07492
Crawfordsville_TP2,0.00664,0.11768,0.2362,0.25377,0.10588,0.03842,0.17153,0.57476,0.21454,0.01198,0.00268,0.03928,0.24823,0.19934,0.12055,0.1251,0.06372,0.05095,0.19075,0.26418,0.33731,0.1293,0.06909,0.00225,0.02228,0.01524,0.02378,0.03872,0.04868,0.06585
Crawfordsville_TP3,0.01403,0.13318,0.30491,0.29704,0.13107,0.03115,0.13139,0.16479,0.48552,0.01974,0.00577,0.04604,0.28262,0.26758,0.17799,0.24969,0.1674,0.14769,0.18383,0.25885,0.39863,0.16389,0.0632,0.03372,0.02436,0.0058,0.01559,0.0263,0.03926,0.07229
Crawfordsville_TP4,1e-05,0.02089,0.09909,0.226,0.14971,0.09767,0.05981,0.07394,0.05724,0.53795,0.02423,0.0,0.10073,0.15687,0.00536,0.04202,0.08256,0.07262,0.0407,0.09623,0.24239,0.12213,0.06547,0.0542,0.00183,0.01531,0.02935,0.02385,0.03136,0.02513
Crawfordsville_TP5,0.00085,0.0003,0.04248,0.00388,0.00746,0.02759,4e-05,0.00316,0.00706,0.01607,0.29018,0.09347,0.05018,0.05245,0.09961,0.18528,0.06881,0.08311,6e-05,0.00063,0.0069,0.01441,0.0321,0.05313,0.00147,0.00141,0.02535,0.01961,0.0298,0.00967
Crawfordsville_TP6,0.02881,0.01745,0.06879,0.00188,0.00362,0.00314,0.0259,0.00662,0.0033,0.02002,0.03217,0.37359,0.02361,1e-05,0.08583,0.06089,0.00199,0.00963,3e-05,0.00283,0.00661,0.00861,0.0282,0.08913,0.00383,0.00067,0.01292,0.01078,0.00982,0.0001
Lincoln_TP1,0.0187,0.12512,0.24332,0.1517,0.01462,0.00048,0.10842,0.09788,0.10952,0.00228,0.0085,0.04711,0.60841,0.27421,0.172,0.20583,0.08878,0.06707,0.11012,0.21833,0.27788,0.04942,0.02272,0.00684,0.01138,0.00575,0.06715,0.07953,0.08484,0.08648
Lincoln_TP2,0.00244,0.0652,0.22048,0.21897,0.0715,0.00557,0.04772,0.06422,0.10968,0.05255,0.00531,0.01684,0.26143,0.62827,0.12501,0.24798,0.26281,0.26277,0.09484,0.1707,0.34632,0.16267,0.07097,0.00341,0.01208,0.00029,0.01211,0.03074,0.03266,0.03982
Lincoln_TP3,0.03321,0.04746,0.23682,0.02808,0.00036,0.01594,0.05129,0.05382,0.07662,0.02889,0.03641,0.08671,0.14091,0.13084,0.56658,0.38065,0.07405,0.07476,0.07305,0.09924,0.09024,0.00476,0.0236,0.12707,0.00535,0.00167,0.00019,0.01892,0.00999,0.05014
Lincoln_TP4,0.03126,0.03278,0.29194,0.11335,0.04718,0.00404,0.04157,0.03654,0.07837,0.00895,0.04912,0.10941,0.17764,0.25185,0.29472,0.64272,0.35835,0.31862,0.03803,0.08817,0.16,0.04845,0.0,0.14822,0.00866,0.00208,0.01203,0.00116,0.00385,0.00882
Lincoln_TP5,0.00149,0.0,0.09773,0.04668,0.02786,0.0032,2e-05,0.00702,0.03257,0.03258,0.04337,0.06956,0.09758,0.20869,0.15576,0.36061,0.65237,0.47087,0.01902,0.04716,0.27711,0.12405,0.02197,0.12926,0.00819,0.01447,0.0281,0.00971,0.02206,0.00182
Lincoln_TP6,5e-05,0.00037,0.07687,0.04415,0.03032,0.00304,0.00101,0.00214,0.02514,0.03864,0.04704,0.0451,0.0947,0.21513,0.1266,0.3189,0.48409,0.63566,0.02523,0.03501,0.26586,0.1471,0.04518,0.1,0.00662,0.00984,0.03191,0.01659,0.03203,0.00482
Movalley_TP1,2e-05,0.05579,0.17049,0.21125,0.1201,0.04366,0.07986,0.12901,0.14107,0.03577,0.00749,0.01232,0.22858,0.22285,0.12131,0.12886,0.15714,0.1479,0.52999,0.31138,0.46471,0.24533,0.07333,0.00353,0.03814,0.0173,0.03955,0.05108,0.06553,0.08043
Movalley_TP2,0.00626,0.10255,0.24936,0.24038,0.09822,0.04467,0.11452,0.12706,0.13456,0.06746,0.00626,0.03708,0.27759,0.27804,0.14165,0.1969,0.21963,0.2058,0.23058,0.55681,0.47726,0.2393,0.06077,0.0003,0.02113,0.00815,0.03631,0.05649,0.07823,0.07495
Movalley_TP3,0.00044,0.05815,0.214,0.23311,0.10471,0.03437,0.05893,0.09256,0.11385,0.08021,0.01367,0.00944,0.24409,0.31988,0.09629,0.16967,0.23904,0.23503,0.19779,0.265,0.65245,0.2421,0.12846,0.01399,0.01788,0.00415,0.03832,0.053,0.06818,0.06107
Movalley_TP4,0.00119,0.05864,0.22197,0.26287,0.09962,0.02739,0.03258,0.07006,0.09752,0.07065,0.0001,0.01909,0.20029,0.27664,0.06814,0.14534,0.23834,0.25145,0.12744,0.18702,0.46679,0.29681,0.14957,0.01701,0.01461,0.00215,0.00331,0.01305,0.01804,0.02562
Movalley_TP5,0.0016,0.05956,0.20273,0.25537,0.08534,0.02179,0.03124,0.06589,0.08396,0.06691,0.00029,0.01655,0.19321,0.26664,0.0493,0.11303,0.20488,0.21542,0.09744,0.13647,0.41575,0.2243,0.27098,0.02891,0.01034,0.00243,0.0022,0.00512,0.01147,0.01476
Movalley_TP6,0.01359,0.00598,0.16634,0.00474,0.00078,1e-05,0.01638,0.02055,0.03558,0.01347,0.03397,0.12103,0.14229,0.11897,0.27219,0.3353,0.17851,0.12931,0.00446,0.00858,0.03801,0.0003,0.03555,0.31792,2e-05,0.0123,0.00498,0.00015,0.00289,0.00235
Scottsbluff_TP1,0.00157,0.01212,0.08282,0.19315,0.11058,0.01211,0.02969,0.05008,0.07779,0.00033,0.0048,0.05534,0.09193,0.13345,0.00018,0.00605,0.04125,0.03858,0.17989,0.16058,0.21561,0.07113,0.01475,0.00994,0.35088,0.03365,0.04355,0.03656,0.05666,0.0838
Scottsbluff_TP2,0.00157,0.0058,0.00805,0.06858,0.05841,0.0443,0.02414,0.01159,0.00459,0.02337,0.02521,0.00772,0.00502,0.0,0.09468,0.0977,0.08079,0.08719,0.03365,0.02707,0.01525,0.01705,0.02008,0.08547,0.04788,0.54265,0.09084,0.04634,0.0756,0.05415
Scottsbluff_TP3,0.00347,0.00984,0.01682,0.02516,0.00326,0.01175,0.04324,0.03837,0.02124,0.08134,0.01967,0.00118,0.06006,0.07785,0.00022,0.00564,0.01082,0.00987,0.01435,0.04694,0.05422,0.02952,0.02973,0.02815,0.0071,0.0227,0.52442,0.20008,0.18412,0.11767
Scottsbluff_TP4,0.01093,0.00627,0.05153,0.03179,0.0,0.00087,0.04588,0.07515,0.05424,0.05033,0.01009,0.0,0.16292,0.20416,0.06758,0.11627,0.11224,0.11081,0.09369,0.13548,0.21806,0.06649,0.02767,0.00164,0.01777,0.0048,0.19613,0.53576,0.25167,0.16261
Scottsbluff_TP5,0.00538,0.01027,0.04252,0.03598,0.001,0.00204,0.02405,0.04347,0.03682,0.06154,0.02532,0.0004,0.15586,0.17305,0.01381,0.02953,0.02334,0.01767,0.04886,0.1145,0.16697,0.02937,0.04411,0.02454,0.01516,0.01208,0.15402,0.23675,0.7062,0.18056
Scottsbluff_TP6,0.00018,0.03241,0.06284,0.04668,0.00368,7e-05,0.07443,0.07425,0.1063,0.00092,0.01111,0.00113,0.25528,0.16909,0.1238,0.13808,0.05704,0.04476,0.14137,0.12721,0.2007,0.01912,0.00142,0.00337,0.0234,0.00757,0.11538,0.16359,0.1751,0.42258
