testset,Ames_TP1,Ames_TP2,Ames_TP3,Ames_TP4,Ames_TP5,Ames_TP6,Crawfordsville_TP1,Crawfordsville_TP2,Crawfordsville_TP3,Crawfordsville_TP4,Crawfordsville_TP5,Crawfordsville_TP6,Movalley_TP1,Movalley_TP2,Movalley_TP3,Movalley_TP4,Movalley_TP5,Movalley_TP6
Ames_TP1,0.35283,0.26439,0.15719,0.11708,0.09875,0.07665,0.17892,0.09167,0.01676,0.00373,0.00093,0.04077,0.20621,0.15036,0.08267,0.01985,0.00969,0.07126
Ames_TP2,0.19526,0.27534,0.16237,0.11151,0.07288,0.03823,0.13372,0.06796,0.00056,8e-05,0.00775,0.0482,0.09894,0.06005,0.02544,0.00705,0.00326,0.05875
Ames_TP3,0.06257,0.14672,0.25284,0.13719,0.04518,0.00516,0.07635,0.02571,0.00046,0.00462,0.00068,0.02186,0.01213,0.00588,0.0006,4e-05,1e-05,0.01612
Ames_TP4,0.03661,0.08944,0.14828,0.21049,0.10823,0.01045,0.06096,0.03884,0.00224,0.02077,0.01079,0.00471,0.00502,0.0031,0.00331,0.00956,0.00821,0.00096
Ames_TP5,0.00728,0.01598,0.02308,0.0492,0.08327,0.02648,0.02071,0.01835,0.00373,0.00603,0.0004,0.00261,0.0021,0.00194,0.00048,0.00043,0.00022,0.00024
Ames_TP6,0.00258,0.0023,1e-05,0.00089,0.01052,0.0818,0.00332,0.00046,0.00087,0.01132,0.0087,0.00138,0.00081,0.00011,0.00055,0.00132,0.00081,0.00197
Crawfordsville_TP1,0.01567,0.02168,0.02301,0.02061,0.01984,0.00477,0.09119,0.04013,0.00696,0.00234,0.00094,0.00057,0.00355,0.00322,0.00063,0.00034,0.0,2e-05
Crawfordsville_TP2,0.00334,0.00645,0.00706,0.0112,0.01299,0.00151,0.02417,0.09681,0.01683,0.00204,0.0051,0.00859,0.00014,0.00083,0.00036,3e-05,2e-05,0.00273
Crawfordsville_TP3,0.00364,0.00156,0.0002,0.00042,0.00246,0.00045,8e-05,0.00771,0.09779,0.00089,0.00037,0.01783,0.01148,0.00664,0.01119,0.00551,0.00364,0.00591
Crawfordsville_TP4,0.00183,0.00142,0.00158,0.00888,0.00592,0.01658,0.00686,0.00044,0.0109,0.09268,0.0216,2e-05,0.00014,0.00019,0.00014,0.00797,0.01295,0.00398
Crawfordsville_TP5,0.00157,0.00382,0.00785,0.00974,0.00641,0.00052,0.0017,0.00568,0.00133,0.00744,0.10986,0.00647,0.00101,4e-05,0.01091,0.00461,0.00268,8e-05
Crawfordsville_TP6,2e-05,0.00525,0.00693,0.00564,0.0074,0.00831,0.00617,0.00385,0.01286,0.00495,0.002,0.06266,0.00143,0.00055,0.0007,0.0,0.00071,0.00153
Movalley_TP1,0.26584,0.1631,0.01586,0.00389,0.04983,0.04728,0.13241,0.02797,0.14967,0.06912,0.00149,0.01433,0.43629,0.37558,0.3176,0.23352,0.1959,0.1942
Movalley_TP2,0.09466,0.04957,0.00291,2e-05,0.01294,0.00129,0.07475,0.01298,0.06352,0.07742,0.0161,0.00021,0.25407,0.32365,0.21652,0.15677,0.13482,0.12069
Movalley_TP3,0.03008,0.01831,0.01333,0.03316,0.01165,0.00193,0.0456,0.00771,0.05483,0.00849,0.04963,0.00017,0.14159,0.1418,0.29643,0.20396,0.18552,0.10885
Movalley_TP4,0.00131,0.00546,0.00029,0.01146,3e-05,0.02191,0.01078,0.01931,0.00963,0.01258,0.00074,0.00266,0.03445,0.05331,0.07408,0.28771,0.24327,0.12157
Movalley_TP5,2e-05,0.00174,0.00544,0.02922,0.00176,0.0005,0.00183,0.00091,0.00075,0.02064,0.00744,0.00226,0.03143,0.04979,0.09782,0.23734,0.29787,0.10472
Movalley_TP6,0.00759,0.01307,0.00472,0.00064,0.0,0.01014,0.00401,0.0016,0.00052,7e-05,0.00109,0.00122,0.02465,0.03119,0.03757,0.08175,0.07069,0.18978
