testset,Ames_TP1,Ames_TP2,Ames_TP3,Ames_TP4,Ames_TP5,Ames_TP6,Crawfordsville_TP1,Crawfordsville_TP2,Crawfordsville_TP3,Crawfordsville_TP4,Crawfordsville_TP5,Crawfordsville_TP6,Movalley_TP1,Movalley_TP2,Movalley_TP3,Movalley_TP4,Movalley_TP5,Movalley_TP6
Ames_TP1,0.45952,0.30529,0.18511,0.13278,0.08185,0.05807,0.17247,0.0437,0.07099,0.00399,0.03624,0.00114,0.21377,0.17554,0.08243,0.02458,0.00626,0.1197
Ames_TP2,0.18075,0.38105,0.19456,0.15293,0.07719,0.03679,0.13868,0.03171,0.02624,0.0,0.03634,0.00544,0.05837,0.0413,0.02078,0.02454,6e-05,0.07109
Ames_TP3,0.02757,0.12432,0.52706,0.13348,0.02835,0.01047,0.07313,0.00533,0.00195,0.01172,0.0012,0.00839,0.00033,0.00118,0.00064,0.01283,0.00022,0.0015
Ames_TP4,0.00924,0.05056,0.12556,0.4591,0.07695,0.00455,0.053,0.02005,0.00125,0.02123,0.01982,0.01184,7e-05,0.00028,0.00103,0.0,0.00068,9e-05
Ames_TP5,0.00551,0.01023,0.0149,0.03496,0.28376,0.02013,0.02021,0.01451,0.0015,0.00525,0.01066,0.00617,0.00187,0.0012,3e-05,0.00019,0.00191,9e-05
Ames_TP6,0.00277,0.00407,0.00081,0.00075,0.01448,0.31654,0.004,0.00043,0.00163,0.00225,2e-05,0.00077,0.00233,0.00057,0.00124,0.00017,0.0,0.00472
Crawfordsville_TP1,0.01614,0.02992,0.02282,0.01615,0.01442,0.0077,0.33259,0.02566,0.00168,0.00474,0.00832,0.00874,0.00018,0.0,0.00046,0.00011,0.00231,0.00052
Crawfordsville_TP2,0.00316,0.0079,0.00869,0.01105,0.01665,0.00241,0.02491,0.31478,0.01302,0.00439,0.00625,0.01689,0.0002,3e-05,0.00013,0.0,0.00156,0.0
Crawfordsville_TP3,0.00445,0.0003,0.00058,0.00081,0.00587,0.00067,0.00254,0.01828,0.31073,0.00017,0.00028,0.00997,0.01637,0.00992,0.00986,0.00329,1e-05,0.00345
Crawfordsville_TP4,1e-05,5e-05,0.00077,0.00655,0.00539,0.01492,0.01166,0.00793,0.00054,0.27679,0.01859,0.00121,0.00014,0.0,0.00065,0.00082,0.00856,0.00341
Crawfordsville_TP5,0.00484,0.00853,0.00862,0.01025,0.00665,7e-05,0.0089,0.00794,0.00015,0.00716,0.33426,0.0002,0.00191,0.00363,0.01432,0.00054,0.0101,0.00209
Crawfordsville_TP6,5e-05,0.00687,0.0085,0.00569,0.0057,0.00331,0.00719,0.00744,0.00472,0.00523,0.00401,0.29466,0.00579,0.00305,5e-05,0.00667,0.00182,0.00018
Movalley_TP1,0.33389,0.19765,0.02838,0.00465,0.0067,0.00416,0.06205,0.00073,0.2583,0.0566,0.02495,0.03642,0.60958,0.41051,0.32549,0.14379,0.09367,0.20721
Movalley_TP2,0.12588,0.04747,0.00434,0.00019,3e-05,0.00596,0.01312,0.00579,0.07912,0.03664,0.01563,0.00011,0.22662,0.38989,0.1857,0.09985,0.13415,0.10617
Movalley_TP3,0.03283,0.03341,0.00386,0.01407,0.01661,0.00124,0.00731,0.00214,0.07489,0.00038,0.04345,0.00372,0.13875,0.13562,0.49743,0.13105,0.11321,0.12933
Movalley_TP4,0.01206,0.02465,0.00281,0.00136,0.0,0.00014,0.00229,0.00233,0.02856,0.00828,0.00249,0.00019,0.04254,0.04503,0.07673,0.7013,0.1758,0.10045
Movalley_TP5,0.00353,0.00906,3e-05,0.01304,0.00959,5e-05,0.00737,0.01337,0.03634,0.00614,0.00603,0.00276,0.03161,0.04854,0.09719,0.20577,0.71095,0.07775
Movalley_TP6,0.01839,0.02561,0.01513,0.00138,0.00099,0.01503,0.00811,0.00032,0.00915,3e-05,0.00429,0.00492,0.01741,0.0029,0.024,0.10685,0.01512,0.28815
